tic,earnings_surprise_ratio,absolute_surprise,price_reaction,rolling_volatility,interest_rate,date
BNED,0.9091358024691358,73.64,-0.092359,0.04750639095328726,0.044,2025-04-13
BNTC,-272.99999999999994,46.41,0.129808,0.03965236352627185,0.044,2025-04-13
BNTX,0.541524268723187,5.00239,0.096004,0.06691496978254559,0.044,2025-04-13
BNZI,-0.7333333333333333,5.5,-0.130929,0.046865929024244225,0.044,2025-04-13
BOKF,0.40124128223174865,0.6271,0.046913,0.022881306834641083,0.044,2025-04-13
BOOM,0.7212973664150294,0.29333,0.268376,0.06385984787581918,0.044,2025-04-13
BP,0.32962275819418685,0.6396000000000002,0.008547,0.06570609618156334,0.044,2025-04-13
BPMC,-2.2812585449441274,3.75429,-0.099928,0.044473312638988335,0.044,2025-04-13
BPRN,2.566666666666667,0.77,-0.056169,0.0750588915345263,0.044,2025-04-13
BPTH,0.3820224719101124,6.800000000000001,0.160338,0.09259061141762548,0.044,2025-04-13
BRBR,0.3444474321054047,0.11529,0.005982,0.391859621054898,0.044,2025-04-13
BRDG,1.0533070088845018,0.26675000000000004,-0.073055,0.03868753957924369,0.044,2025-04-13
BRFH,-4.999999999999999,0.175,-0.192308,0.08411897098954785,0.044,2025-04-13
BRKL,-1.3181818181818183,0.29000000000000004,-0.142017,0.03941840331634933,0.044,2025-04-13
BRLT,11.0,0.022,-0.027473,0.6260401397279183,0.044,2025-04-13
BROS,2.1629082819294165,0.42778000000000005,-0.059697,0.12593420334731598,0.044,2025-04-13
BRT,16.916666666666664,2.03,0.053588,0.05664693742891006,0.044,2025-04-13
BSBR,0.22089568364756096,0.04089000000000001,0.134571,0.0396795814063741,0.044,2025-04-13
BSET,0.8,0.36000000000000004,0.112339,0.06778925020643554,0.044,2025-04-13
BSFC,-7.0,70.0,0.045655,0.19382127299075658,0.044,2025-04-13
BSGM,-0.9166666666666666,2.1999999999999997,0.162393,0.08509775652729162,0.044,2025-04-13
BSM,0.32158590308370033,0.14599999999999996,0.009615,0.7184499577176756,0.044,2025-04-13
BSRR,-0.33958154762741166,0.24167000000000005,-0.015145,0.03827407950894906,0.044,2025-04-13
BSVN,0.3660836257466585,0.13667,0.22549,0.06091263615092688,0.044,2025-04-13
BSX,0.4977331606217616,0.12295999999999999,0.017366,0.14364891361585766,0.044,2025-04-13
BTCS,-8.333333333333334,0.5,0.531915,0.10716665521350503,0.044,2025-04-13
